时间_s,烘房温度_C,烘房水分浓度_kg_kg
0,28.0,0.01963
1,28.0088,0.0196365
2,28.0176,0.019643
3,28.0264,0.0196495
4,28.0352,0.019656
5,28.044,0.019662500000000003
6,28.0528,0.019669000000000002
7,28.0616,0.019675500000000002
8,28.0704,0.019682
9,28.0792,0.0196885
10,28.088,0.019695
11,28.096799999999998,0.0197015
12,28.1056,0.019708
13,28.1144,0.019714500000000003
14,28.1232,0.019721000000000002
15,28.131999999999998,0.019727500000000002
16,28.1408,0.019734
17,28.1496,0.0197405
18,28.1584,0.019747
19,28.1672,0.0197535
20,28.176,0.01976
21,28.1848,0.0197665
22,28.1936,0.019773000000000002
23,28.2024,0.019779500000000002
24,28.211199999999998,0.019786
25,28.22,0.0197925
26,28.2288,0.019799
27,28.2376,0.0198055
28,28.246399999999998,0.019812
29,28.2552,0.0198185
30,28.264,0.019825000000000002
31,28.2728,0.019831500000000002
32,28.2816,0.019838
33,28.290399999999998,0.0198445
34,28.2992,0.019851
35,28.308,0.0198575
36,28.3168,0.019864
37,28.325599999999998,0.0198705
38,28.3344,0.019877
39,28.3432,0.019883500000000002
40,28.352,0.01989
41,28.360799999999998,0.0198965
42,28.3696,0.019903
43,28.3784,0.0199095
44,28.3872,0.019916
45,28.396,0.0199225
46,28.404799999999998,0.019929
47,28.4136,0.0199355
48,28.4224,0.019942
49,28.4312,0.0199485
50,28.439999999999998,0.019955
51,28.4488,0.0199615
52,28.4576,0.019968
53,28.4664,0.0199745
54,28.475199999999997,0.019981
55,28.483999999999998,0.0199875
56,28.4928,0.019994
57,28.5016,0.0200005
58,28.510399999999997,0.020007
59,28.519199999999998,0.0200135
60,28.528,0.02002
61,28.539066666666667,0.0200285
62,28.55013333333333,0.020037
63,28.5612,0.0200455
64,28.572266666666664,0.020054
65,28.583333333333332,0.0200625
66,28.5944,0.020071
67,28.605466666666665,0.0200795
68,28.616533333333333,0.020087999999999998
69,28.627599999999997,0.0200965
70,28.638666666666666,0.020104999999999998
71,28.649733333333334,0.0201135
72,28.6608,0.020122
73,28.671866666666666,0.0201305
74,28.68293333333333,0.020139
75,28.694,0.0201475
76,28.705066666666667,0.020156
77,28.71613333333333,0.0201645
78,28.7272,0.020173
79,28.738266666666664,0.020181499999999998
80,28.749333333333333,0.02019
81,28.7604,0.0201985
82,28.771466666666665,0.020207
83,28.782533333333333,0.0202155
84,28.793599999999998,0.020224
85,28.804666666666666,0.0202325
86,28.815733333333334,0.020241
87,28.8268,0.0202495
88,28.837866666666667,0.020257999999999998
89,28.84893333333333,0.0202665
90,28.86,0.020275
91,28.871066666666668,0.0202835
92,28.882133333333332,0.020292
93,28.8932,0.0203005
94,28.904266666666665,0.020309
95,28.915333333333333,0.0203175
96,28.9264,0.020326
97,28.937466666666666,0.0203345
98,28.948533333333334,0.020343
99,28.9596,0.020351499999999998
100,28.970666666666666,0.02036
101,28.981733333333334,0.0203685
102,28.9928,0.020377
103,29.003866666666667,0.0203855
104,29.01493333333333,0.020394
105,29.026,0.0204025
106,29.037066666666668,0.020411
107,29.048133333333332,0.0204195
108,29.0592,0.020427999999999998
109,29.070266666666665,0.0204365
110,29.081333333333333,0.020444999999999998
111,29.0924,0.0204535
112,29.103466666666666,0.020462
113,29.114533333333334,0.0204705
114,29.1256,0.020479
115,29.136666666666667,0.0204875
116,29.147733333333335,0.020496
117,29.1588,0.0205045
118,29.169866666666667,0.020513
119,29.180933333333332,0.020521499999999998
120,29.192,0.02053
121,29.2002,0.02053783333333333
122,29.2084,0.020545666666666667
123,29.2166,0.0205535
124,29.224800000000002,0.020561333333333334
125,29.233,0.020569166666666666
126,29.2412,0.020576999999999998
127,29.2494,0.020584833333333333
128,29.2576,0.020592666666666665
129,29.2658,0.0206005
130,29.274,0.020608333333333333
131,29.2822,0.020616166666666668
132,29.2904,0.020624
133,29.2986,0.020631833333333332
134,29.3068,0.020639666666666667
135,29.315,0.0206475
136,29.3232,0.020655333333333335
137,29.331400000000002,0.020663166666666666
138,29.3396,0.020671000000000002
139,29.3478,0.020678833333333334
140,29.356,0.020686666666666666
141,29.3642,0.0206945
142,29.3724,0.020702333333333333
143,29.3806,0.02071016666666667
144,29.3888,0.020718
145,29.397000000000002,0.020725833333333332
