时间/h,0 cm,0.5 cm,1 cm,1.5 cm,2 cm
6.000000,1.01555040,0.98682857,0.90055230,0.75463437,0.53345583
12.000000,0.45475756,0.44183660,0.40193895,0.32892198,0.16394894
18.000000,0.29789082,0.29063712,0.26790944,0.22469727,0.08421989
24.000000,0.23709948,0.23206416,0.21612606,0.18508644,0.06626979
30.000000,0.20526507,0.20130450,0.18868292,0.16371085,0.05966162
36.000000,0.18540689,0.18207335,0.17139958,0.15004702,0.05648202
42.000000,0.17165493,0.16873335,0.15934565,0.14041104,0.05469413
48.000000,0.16145955,0.15883071,0.15036047,0.13316648,0.05358054
54.000000,0.15353197,0.15112291,0.14334363,0.12747016,0.05283502
57.169444,0.14999994,0.14768653,0.14020853,0.12491364,0.05253572
