表 1  30 分钟内药材的温度 (degC)
时间/s	0 cm	0.5 cm	1 cm	1.5 cm	2 cm
100	28.0001	28.0004	28.0041	28.0326	28.1786
300	28.0411	28.0638	28.1514	28.3676	28.8469
600	28.4537	28.5363	28.8039	29.3153	30.1640
900	29.3245	29.4584	29.8753	30.6156	31.7297
1200	30.5428	30.7098	31.2222	32.1121	33.4269
1500	31.9957	32.1867	32.7658	33.7460	35.1204
1800	33.5752	33.7719	34.3640	35.3619	36.7853

表 2  30 分钟内药材的水分浓度 (kg/kg)
时间/s	0 cm	0.5 cm	1 cm	1.5 cm	2 cm
100	2.5500	2.5500	2.5500	2.5500	2.2880
300	2.5500	2.5500	2.5500	2.5486	2.0661
600	2.5500	2.5500	2.5500	2.5342	1.8846
900	2.5500	2.5500	2.5495	2.5041	1.7596
1200	2.5500	2.5500	2.5478	2.4647	1.6619
1500	2.5500	2.5499	2.5440	2.4212	1.5812
1800	2.5500	2.5496	2.5376	2.3763	1.5120
